matricula,Nome,local de trabalho,Data de Ingresso,Curso,Área de Conhecimento,Data de Conclusão,Instituição
239946,Daniela Azevedo,9599,2020-12-18,Engenharia de Produção,Engenharias,2010-09-06,IFRR - Instituto Federal de Roraima
239947,Dr. Lucca Cardoso,9599,2023-10-18,GeoCiências,Ciências Exatas e da Terra,2010-01-24,FACIC - Faculdade de Ciências Humanas de Curvelo
239948,Emilly Monteiro,9599,2022-09-15,Engenharia Civil,Engenharias,2018-06-24,FCR - Faculdade Católica de Rondônia
239949,Cauã Monteiro,9599,2022-08-26,Biofísica,Ciências Biológicas,2013-11-19,IESB - Instituto de Educação Superior de Brasília
239950,Julia Ribeiro,9599,2023-04-10,Zootecnia,Ciências Agrárias,2019-02-27,UFMG - Universidade Federal de Minas Gerais
239951,Milena Rocha,9599,2014-11-17,Lingüística,"Lingüística, Letras e Artes",2013-06-27,FeMASS - Faculdade Professor Miguel Ângelo da Silva Santos - Macaé
239952,Enzo Nascimento,9599,2024-06-21,Imunologia,Ciências Biológicas,2012-02-25,UCPEL - Universidade Católica de Pelotas
239953,Dra. Marcela Nogueira,9599,2019-10-28,Serviço Social,Ciências Sociais Aplicadas,2018-01-05,UNIRITTER - Centro Universitário Ritter dos Reis
239954,Kaique Alves,9599,2019-01-14,Artes,"Lingüística, Letras e Artes",2018-04-06,UNISUL - Universidade do Sul de Santa Catarina
239955,Pedro Miguel Moraes,9599,2024-03-07,Física,Ciências Exatas e da Terra,2013-06-03,Fametro - Faculdade Metropolitana de Manaus
239956,Juliana Oliveira,9599,2021-06-02,Química,Ciências Exatas e da Terra,2014-05-28,FACDO - Faculdade Católica Dom Orione
239957,Fernando Souza,9599,2015-10-02,Farmacologia,Ciências Biológicas,2012-05-13,IESP - Instituto de Educação Superior da Paraíba
239958,Nicolas da Paz,9599,2014-09-18,Química,Ciências Exatas e da Terra,2010-02-27,UEMA - Universidade Estadual do Maranhão
239959,Pedro Henrique Silva,9599,2017-08-27,Engenharia Agrícola,Ciências Agrárias,2013-03-02,MACKENZIE-RIO - Faculdade Presbiteriana Mackenzie Rio
239960,Juan Lopes,9599,2015-04-26,Engenharia Nuclear,Engenharias,2010-04-20,UCB - Universidade Católica de Brasília
239961,Ryan Silveira,9599,2021-02-20,Museologia,Ciências Sociais Aplicadas,2012-06-18,FA - Faculdade Atlântico
239962,Sarah da Rosa,9599,2024-03-21,Biologia Geral,Ciências Biológicas,2014-09-19,UIT - Universidade de Itaúna
239963,Antônio Silva,9599,2014-10-30,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2012-12-07,UFFS - Universidade Federal da Fronteira Sul
239964,Dra. Pietra Melo,9599,2021-11-27,Engenharia de Materiais e Metalúrgica,Engenharias,2019-03-11,UERR - Universidade Estadual de Roraima
239965,Olivia Barbosa,9599,2021-07-28,Engenharia Elétrica,Engenharias,2017-12-12,FAC - Faculdade Arquidiocesana de Curvelo
239966,Joana Alves,9599,2019-09-12,Zootecnia,Ciências Agrárias,2011-04-18,ITE - Centro Universitário de Bauru
239967,Yuri da Cunha,9599,2023-01-04,Engenharia de Transportes,Engenharias,2019-08-10,Univel - União Educacional de Cascavel
239968,João Lucas Moraes,9599,2016-11-17,Engenharia Elétrica,Engenharias,2012-10-19,AEDB - Faculdades Dom Bosco
239969,Joaquim Rocha,9599,2023-09-22,Antropologia,Ciências Humanas,2012-03-01,UFRN - Universidade Federal do Rio Grande do Norte
239970,André Freitas,9599,2022-05-11,Enfermagem,Ciências da Saúde,2020-01-12,UNINILTONLINS - Universidade Nilton Lins
239971,Isaac Martins,9599,2023-12-09,Artes,"Lingüística, Letras e Artes",2019-10-06,UCAM - Universidade Cândido Mendes
239972,João Lucas da Cruz,9599,2024-07-02,Nutrição,Ciências da Saúde,2013-06-25,UNIJUÍ - Universidade Regional do Noroeste do Estado do Rio Grande do Sul
239973,Leandro Pereira,9599,2024-05-09,Engenharia Aeroespacial,Engenharias,2009-10-07,UFES - Universidade Federal do Espírito Santo
239974,Helena Teixeira,9599,2015-06-20,Morfologia,Ciências Biológicas,2011-01-30,UFCSPA - Universidade Federal de Ciências da Saúde de Porto Alegre
239975,Dra. Ana Farias,9599,2016-03-25,Filosofia,Ciências Humanas,2009-12-16,UFAM - Universidade Federal do Amazonas
239976,Nicolas Campos,9599,2018-12-03,Biologia Geral,Ciências Biológicas,2014-01-23,UTP - Universidade Tuiuti do Paraná
239977,Lara Monteiro,9599,2023-06-28,Farmacologia,Ciências Biológicas,2019-11-02,FAPA - Faculdade Porto-Alegrense
239978,Srta. Maria Vitória Fogaça,9599,2024-04-14,Engenharia Agrícola,Ciências Agrárias,2019-08-09,UNIMAR - Universidade de Marília
239979,Bernardo Azevedo,9599,2017-09-09,Bioquímica,Ciências Biológicas,2011-03-18,UNIFIL - Centro Universitário Filadélfia
239980,Kaique Dias,9599,2022-09-30,Ecologia,Ciências Biológicas,2020-05-24,IFC - Instituto Federal Catarinense
239981,Benício Sales,9599,2017-11-04,Planejamento Urbano e Regional,Ciências Sociais Aplicadas,2017-03-05,UFSCar - Universidade Federal de São Carlos
239982,Diogo Freitas,9599,2016-08-12,Economia Doméstica,Ciências Sociais Aplicadas,2015-07-19,FURG - Universidade Federal do Rio Grande
239983,Ana Laura Cardoso,9599,2016-02-23,Morfologia,Ciências Biológicas,2013-05-07,SENAC - Faculdade Senac Rio de Janeiro
239984,Dra. Larissa Lopes,9599,2024-04-06,Engenharia Mecânica,Engenharias,2017-03-07,IFG - Instituto Federal de Goiás
239985,Dra. Valentina Dias,9599,2017-11-16,Engenharia Civil,Engenharias,2009-08-02,FACIMP - Faculdade de Imperatriz
239986,Fernanda Araújo,9599,2017-07-27,Engenharia Química,Engenharias,2010-09-24,UNIFESP - Universidade Federal de São Paulo
239987,Emanuel Azevedo,9599,2018-06-23,Oceanografia,Ciências Exatas e da Terra,2012-10-23,URCA - Universidade Regional do Cariri
239988,Pedro Henrique Almeida,9599,2023-06-13,Engenharia Aeroespacial,Engenharias,2022-11-09,ESDHC - Escola Superior Dom Helder Câmara
239989,Isaac Rodrigues,9599,2017-08-25,Engenharia de Materiais e Metalúrgica,Engenharias,2013-06-22,FAMAZ - Faculdade Metropolitana da Amazônia
239990,Maria Sophia da Rocha,9599,2015-04-12,Lingüística,"Lingüística, Letras e Artes",2011-03-08,IAESUP - Faculdades e Colégio Aphonsiano
239991,Isabel Rocha,9599,2021-07-08,Turismo,Ciências Sociais Aplicadas,2010-03-26,PUC-Campinas - Pontifícia Universidade Católica de Campinas
239992,Cauã da Mota,9599,2016-04-11,Sociologia,Ciências Humanas,2015-12-29,UNIVALE - Universidade Vale do Rio Doce
239993,Eduarda Melo,9599,2024-02-01,Farmacologia,Ciências Biológicas,2014-11-23,UNINASSAU - Centro Universitário Maurício de Nassau
239994,Lara Silva,9599,2015-11-27,Probabilidade e Estatística,Ciências Exatas e da Terra,2011-02-20,UNISUAM - Centro Universitário Augusto Motta
239995,Clara Moura,9599,2019-08-26,Artes,"Lingüística, Letras e Artes",2017-12-15,UNICURITIBA - Centro Universitário Curitiba
239996,Clara Castro,9599,2020-12-17,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2014-02-21,UNICRUZ - Universidade de Cruz Alta
239997,Maria Julia Alves,9599,2016-03-26,Odontologia,Ciências da Saúde,2015-08-14,UFSC - Universidade Federal de Santa Catarina
239998,Yasmin Almeida,9599,2016-02-20,Parasitologia,Ciências Biológicas,2013-02-16,FIBRA - Faculdade Integrada Brasil Amazônia
239999,Gabrielly Ribeiro,9599,2021-08-03,Ciência da Computação,Ciências Exatas e da Terra,2020-09-27,UFPB - Universidade Federal da Paraíba
240000,Enzo Gabriel Mendes,9599,2019-10-22,Economia Doméstica,Ciências Sociais Aplicadas,2012-07-01,UNICAMP - Universidade Estadual de Campinas
240001,Srta. Bruna Pinto,9599,2022-08-30,Lingüística,"Lingüística, Letras e Artes",2010-09-07,PUC - Pontifícia Universidade Católica de Goiás
240002,Yasmin Silva,9599,2023-01-24,Oceanografia,Ciências Exatas e da Terra,2014-02-19,FURG - Universidade Federal do Rio Grande
240003,João Felipe Carvalho,9599,2016-08-14,Ciência Política,Ciências Humanas,2013-08-20,FANESE - Faculdade de Administração e Negócios de Sergipe
240004,João Miguel Carvalho,9599,2024-03-17,Microbiologia,Ciências Biológicas,2021-01-27,FAM - Faculdade de Americana
240005,Giovanna Fernandes,9599,2024-01-09,Morfologia,Ciências Biológicas,2014-08-08,UNIFAP - Universidade Federal do Amapá
240006,Beatriz Silveira,9599,2022-06-07,Imunologia,Ciências Biológicas,2019-06-06,FAG - Faculdade Guairacá
240007,Pietra Costa,9599,2020-03-04,Engenharia de Transportes,Engenharias,2018-07-04,FACIC - Faculdade de Ciências Humanas de Curvelo
240008,Eloah Araújo,9599,2017-11-28,Química,Ciências Exatas e da Terra,2016-07-18,Uni-FACEF - Centro Universitário de Franca
240009,Bruna da Rosa,9599,2015-08-21,Probabilidade e Estatística,Ciências Exatas e da Terra,2009-12-24,UniRV (FESURV) - Universidade de Rio Verde
240010,Ryan Melo,9599,2019-01-09,Odontologia,Ciências da Saúde,2018-07-01,FAF - Faculdade de Frutal
240011,Mirella Melo,9599,2021-11-06,Astronomia,Ciências Exatas e da Terra,2011-10-12,FADERGS - Faculdade de Desenvolvimento do Rio Grande do Sul
240012,Ana Luiza Azevedo,9599,2015-02-18,Desenho Industrial,Ciências Sociais Aplicadas,2011-05-07,FURB - Fundação Universidade Regional de Blumenau
240013,Samuel Nogueira,9599,2021-01-15,Imunologia,Ciências Biológicas,2014-11-19,UEPB - Universidade Estadual da Paraíba
240014,Pedro Lucas da Costa,9599,2020-03-22,Geografia,Ciências Humanas,2019-06-09,IBMR - Centro Universitário IBMR
240015,Srta. Stella Lima,9599,2015-05-04,Filosofia,Ciências Humanas,2014-12-20,FIRB - Faculdades Integradas Rio Branco
240016,Srta. Rafaela Souza,9599,2022-07-06,Engenharia de Minas,Engenharias,2015-01-02,UCAM - Universidade Cândido Mendes
240017,Lucca da Mota,9599,2016-01-21,Teologia,Ciências Humanas,2011-03-27,UNIGRANRIO - Universidade do Grande Rio
240018,Diogo Rodrigues,9599,2017-11-06,Parasitologia,Ciências Biológicas,2015-01-08,ISERJ - Instituto Superior de Educação do Rio de Janeiro
240019,Davi Lucca Rezende,9599,2022-07-07,Sociologia,Ciências Humanas,2016-06-23,UTP - Universidade Tuiuti do Paraná
240020,Carolina Silveira,9599,2022-05-02,Educação,Ciências Humanas,2021-08-24,UniCesumar - Centro Universitário de Maringá
240021,Srta. Bárbara Gonçalves,9599,2023-04-05,Microbiologia,Ciências Biológicas,2013-03-01,UNIBRASIL - Centro Universitário Autônomo do Brasil
240022,Sra. Luiza Gonçalves,9599,2022-01-04,Engenharia Biomédica,Engenharias,2013-11-15,UNILAGO - União das Faculdades dos Grandes Lagos
240023,Larissa da Rosa,9599,2014-11-02,Antropologia,Ciências Humanas,2012-03-11,FAVAP - Faculdades Vale do Piancó
240024,Davi Luiz Peixoto,9599,2023-11-21,Nutrição,Ciências da Saúde,2017-03-05,IF Goiano - Instituto Federal Goiano
240025,Pedro Lucas Nascimento,9599,2020-09-05,Engenharia de Minas,Engenharias,2017-08-14,SENAC - Faculdade Senac Rio de Janeiro
240026,Sr. Eduardo Silveira,9599,2017-06-15,Nutrição,Ciências da Saúde,2017-05-25,UFLA - Universidade Federal de Lavras
240027,Ana Beatriz Melo,9599,2018-03-03,Enfermagem,Ciências da Saúde,2012-12-25,UNIJUÍ - Universidade Regional do Noroeste do Estado do Rio Grande do Sul
240028,Daniela Gonçalves,9599,2015-05-27,Administração,Ciências Sociais Aplicadas,2010-03-06,FG - Faculdade Guarapuava
240029,Joaquim Gonçalves,9599,2020-10-27,Sociologia,Ciências Humanas,2019-06-03,FGV - Fundação Getulio Vargas
240030,Sr. Rafael Ferreira,9599,2016-09-28,Química,Ciências Exatas e da Terra,2009-11-01,UNIFAL - Universidade Federal de Alfenas
240031,Dr. Enzo Gabriel Barros,9599,2022-12-02,Oceanografia,Ciências Exatas e da Terra,2019-02-05,FAZP - Faculdade Zumbi dos Palmares
240032,Matheus Barros,9599,2015-10-02,Probabilidade e Estatística,Ciências Exatas e da Terra,2010-04-06,FAPRO - Faculdade Projeção
240033,Maria Vitória Cavalcanti,9599,2021-06-19,Engenharia Nuclear,Engenharias,2012-06-26,UPF - Universidade de Passo Fundo
240034,Beatriz Moura,9599,2019-08-12,Agronomia,Ciências Agrárias,2012-05-14,FSB/RJ - Faculdade de São Bento do Rio de Janeiro
240035,Srta. Stephany Oliveira,9599,2021-10-08,Serviço Social,Ciências Sociais Aplicadas,2014-08-16,UFN - Universidade Franciscana
240036,Daniel Cardoso,9599,2023-07-03,Agronomia,Ciências Agrárias,2016-08-18,UNIOESTE - Universidade Estadual do Oeste do Paraná
240037,Luigi Vieira,9599,2021-01-22,Medicina Veterinária,Ciências Agrárias,2015-08-12,UnB - Universidade de Brasília
240038,Júlia Monteiro,9599,2019-11-02,Nutrição,Ciências da Saúde,2019-05-15,USCS - Universidade Municipal de São Caetano do Sul
240039,Catarina Pires,9599,2018-11-01,Bioquímica,Ciências Biológicas,2015-10-10,UNIRITTER - Centro Universitário Ritter dos Reis
240040,Davi Luiz Pires,9599,2015-08-11,Engenharia Agrícola,Ciências Agrárias,2010-05-20,UNCIASAL - Universidade Estadual de Ciências da Saúde de Alagoas
240041,Srta. Clara Lopes,9599,2022-10-24,Física,Ciências Exatas e da Terra,2010-05-03,FLF - Faculdade Luciano Feijão
240042,Sr. Luigi Monteiro,9599,2021-12-22,Psicologia,Ciências Humanas,2012-08-01,FRB - Faculdades Integradas Rio Branco
240043,Elisa Porto,9599,2022-04-27,Farmacologia,Ciências Biológicas,2016-08-16,IFPA - Instituto Federal do Pará
240044,Larissa Lopes,9599,2022-03-27,Microbiologia,Ciências Biológicas,2011-09-04,ALFA - Faculdade Alves Faria
240045,Emanuella Melo,9599,2017-05-13,Saúde Coletiva,Ciências da Saúde,2009-09-05,Cesusc -C omplexo de Ensino Superior de Santa Catarina
240046,Thomas da Rosa,9599,2019-02-18,Engenharia Naval e Oceânica,Engenharias,2015-11-28,UFMG - Universidade Federal de Minas Gerais
240047,Raquel Silveira,9599,2020-10-10,GeoCiências,Ciências Exatas e da Terra,2018-05-16,IFG - Instituto Federal de Goiás
240048,Sra. Ana Lívia Santos,9599,2023-09-14,Psicologia,Ciências Humanas,2017-11-17,UCS - Universidade de Caxias do Sul
240049,Ian Pires,9599,2019-10-30,Genética,Ciências Biológicas,2017-12-15,FAACS - Faculdade Anglo-Americano de Caxias do Sul
240050,Alana Castro,9599,2014-10-12,Ecologia,Ciências Biológicas,2010-02-23,UNIBRASIL - Centro Universitário Autônomo do Brasil
240051,Sra. Eduarda Barbosa,9599,2017-06-18,Bioquímica,Ciências Biológicas,2013-11-15,UFAM - Universidade Federal do Amazonas
240052,Maria Teixeira,9599,2017-08-24,Oceanografia,Ciências Exatas e da Terra,2009-09-14,FAE - FAE Centro Universitário
240053,Luana Moreira,9599,2020-02-27,Microbiologia,Ciências Biológicas,2018-11-27,USS - Universidade Severino Sombra
240054,Srta. Ana Laura Nascimento,9599,2022-06-20,Astronomia,Ciências Exatas e da Terra,2011-04-06,FAP - Faculdade Arquidiocesana de Pirapora
240055,Ana Oliveira,9599,2019-08-02,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2011-01-26,UNIBRASIL - Centro Universitário Autônomo do Brasil
240056,Isadora Cunha,9599,2021-02-25,Engenharia Química,Engenharias,2017-12-21,FJP - Fundação João Pinheiro
240057,João Guilherme Rezende,9599,2018-03-18,Turismo,Ciências Sociais Aplicadas,2011-04-14,UCP - Faculdades do Centro do Paraná
240058,Laura Lima,9599,2021-05-12,Sociologia,Ciências Humanas,2014-04-03,FARES - Faculdade Roraimense de Ensino Superior
240059,Enzo Gabriel Santos,9599,2023-06-10,Biofísica,Ciências Biológicas,2021-02-18,UCP - Universidade Católica de Petrópolis
240060,Daniel Lima,9599,2015-03-02,Odontologia,Ciências da Saúde,2011-06-27,UNOPAR - Universidade do Norte do Paraná
240061,Maria Vitória Aragão,9599,2019-03-25,GeoCiências,Ciências Exatas e da Terra,2018-01-23,ESBJ - Faculdade Maurício de Nassau
240062,Isabella da Rosa,9599,2021-06-02,Enfermagem,Ciências da Saúde,2011-05-04,UEPG - Universidade Estadual de Ponta Grossa
240063,Ian Lopes,9599,2019-11-16,Biofísica,Ciências Biológicas,2016-01-17,EN - Escola Naval
240064,Anthony Cardoso,9599,2024-07-06,Lingüística,"Lingüística, Letras e Artes",2021-01-04,FASM - Faculdade Santa Marcelina
240065,Gustavo Henrique da Paz,9599,2022-04-27,Biofísica,Ciências Biológicas,2013-06-18,CUFSA - Centro Universitário Fundação Santo André
240066,Catarina Aragão,9599,2018-03-08,Lingüística,"Lingüística, Letras e Artes",2011-09-11,CEAP - Centro de Ensino Superior do Amapá
240067,Dr. Kaique Aragão,9599,2020-09-05,Museologia,Ciências Sociais Aplicadas,2010-05-21,UNIFAA - Centro de Ensino Superior de Valença
240068,Enzo Rocha,9599,2020-02-10,Ciência da Informação,Ciências Sociais Aplicadas,2020-02-09,UNIFEOB - Centro Universitário Octávio Bastos
240069,Milena Araújo,9599,2018-01-28,Serviço Social,Ciências Sociais Aplicadas,2012-05-23,PUCPR - Pontifícia Universidade Católica do Paraná
240070,Sr. Henrique Ferreira,9599,2019-08-08,Botânica,Ciências Biológicas,2011-02-09,UNISA - Universidade de Santo Amaro
240071,Dr. Ryan da Costa,9599,2015-03-14,Microbiologia,Ciências Biológicas,2014-09-26,FASER - Faculdade Sergipana
240072,Bianca Cavalcanti,9599,2014-09-08,Farmacologia,Ciências Biológicas,2012-11-09,CUSC - Centro Universitário São Camilo
240073,Marcos Vinicius da Cunha,9599,2020-11-25,Museologia,Ciências Sociais Aplicadas,2020-11-10,UNISUL - Universidade do Sul de Santa Catarina
240074,Luiz Henrique Gomes,9599,2018-11-23,Artes,"Lingüística, Letras e Artes",2013-06-02,FAP - Faculdade Pitágoras* FITS - Faculdade Integrada Tiradentes
240075,Srta. Milena Fernandes,9599,2020-07-17,Ecologia,Ciências Biológicas,2012-06-09,URCAMP - Universidade da Região da Campanha
240076,Alícia Freitas,9599,2017-06-26,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2010-11-14,MACKENZIE-RIO - Faculdade Presbiteriana Mackenzie Rio
240077,Sr. Thiago Souza,9599,2015-05-05,Medicina Veterinária,Ciências Agrárias,2014-10-11,FFB - Faculdade Farias Brito
240078,Sophie Alves,9599,2017-03-12,Sociologia,Ciências Humanas,2014-11-14,UFPR - Universidade Federal do Paraná
240079,Bryan Dias,9599,2016-11-22,Antropologia,Ciências Humanas,2015-01-24,UNIGRANRIO - Universidade do Grande Rio
240080,Ana Clara Sales,9599,2017-02-14,Física,Ciências Exatas e da Terra,2012-07-01,UNEC - Centro Universitário de Caratinga
240081,Daniela Correia,9599,2021-05-23,Antropologia,Ciências Humanas,2011-01-19,USCS - Universidade Municipal de São Caetano do Sul
240082,Luana Castro,9599,2014-11-06,Zootecnia,Ciências Agrárias,2013-02-28,UNESA - Universidade Estácio de Sá
240083,Nicolas Gomes,9599,2023-01-17,Engenharia Aeroespacial,Engenharias,2014-07-19,Colégio Pedro II - Colégio Pedro II
240084,Ana Sophia Nogueira,9599,2020-06-30,Morfologia,Ciências Biológicas,2018-02-12,UFRN - Universidade Federal do Rio Grande do Norte
240085,Maysa Oliveira,9599,2014-10-07,Matemática,Ciências Exatas e da Terra,2011-04-15,UNISUAM - Centro Universitário Augusto Motta
240086,Sr. João Miguel Peixoto,9599,2022-07-09,Astronomia,Ciências Exatas e da Terra,2017-05-21,FARES - Faculdade Roraimense de Ensino Superior
240087,Beatriz Alves,9599,2019-12-20,Saúde Coletiva,Ciências da Saúde,2017-04-24,FURG - Universidade Federal do Rio Grande
240088,Vitor Gabriel Souza,9599,2016-04-09,Zootecnia,Ciências Agrárias,2016-01-13,UFRN - Universidade Federal do Rio Grande do Norte
240089,Davi Pinto,9599,2018-05-17,Engenharia Civil,Engenharias,2013-05-26,IFRN - Instituto Federal do Rio Grande do Norte
240090,Kaique Moraes,9599,2021-09-24,Engenharia Química,Engenharias,2013-03-12,FAPAN - Faculdade Pan Amazônica
240091,João Pedro Almeida,9599,2019-07-13,Educação,Ciências Humanas,2010-12-10,ISES - Centro Universitário Sumaré
240092,Sr. Luiz Otávio Correia,9599,2019-03-10,Zoologia,Ciências Biológicas,2016-07-24,IFS - Instituto Federal de Sergipe
240093,Ana Vitória da Luz,9599,2021-01-25,Psicologia,Ciências Humanas,2013-01-30,UNEC - Centro Universitário de Caratinga
240094,Gustavo Henrique Rezende,9599,2017-11-15,Matemática,Ciências Exatas e da Terra,2013-08-24,UFC - Universidade Federal do Ceará
240095,Sra. Isabelly Teixeira,9599,2018-10-23,História,Ciências Humanas,2013-11-04,UFSJ - Universidade Federal de São João del-Rei
240096,Lara Rocha,9599,2017-11-30,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2015-10-15,UNIRITTER - Centro Universitário Ritter dos Reis
240097,João Vitor Costela,9599,2021-03-12,Lingüística,"Lingüística, Letras e Artes",2017-08-19,UCDB - Universidade Católica Dom Bosco
240098,Dra. Clarice Teixeira,9599,2015-07-01,Parasitologia,Ciências Biológicas,2013-03-22,FAM - Faculdade de Americana
240099,Dra. Milena Mendes,9599,2017-11-05,Medicina,Ciências da Saúde,2013-05-05,FAVAP - Faculdades Vale do Piancó
240100,Pedro Lucas da Cruz,9599,2022-03-10,Genética,Ciências Biológicas,2009-10-30,Fatern Gama Filho - Faculdade de Excelência do Rio Grande do Norte
240101,Melissa da Mata,9599,2019-09-04,Teologia,Ciências Humanas,2009-09-25,FACELI - Faculdade de Ensino Superior de Linhares
240102,Raul Peixoto,9599,2021-12-08,Medicina,Ciências da Saúde,2011-02-21,UFRR - Universidade Federal de Roraima
240103,Kamilly Alves,9599,2016-05-25,Fonoaudiologia,Ciências da Saúde,2010-01-02,UNINCOR-Universidade Vale do Rio Verde
240104,Lara Vieira,9599,2015-08-01,Química,Ciências Exatas e da Terra,2015-02-20,UNOPAR - Universidade Norte do Paraná
240105,Igor Duarte,9599,2020-03-15,Economia,Ciências Sociais Aplicadas,2019-11-29,FURG - Universidade Federal do Rio Grande
240106,Evelyn Ribeiro,9599,2016-12-28,Ciência Política,Ciências Humanas,2011-06-24,UNICATÓLICA - Centro Universitário Católica do Tocantins
240107,Laís Barbosa,9599,2022-04-05,Engenharia de Transportes,Engenharias,2013-03-03,UTP - Universidade Tuiuti do Paraná
240108,Dr. Heitor Ribeiro,9599,2023-01-14,Ciência da Informação,Ciências Sociais Aplicadas,2010-09-28,UECE - Universidade Estadual do Ceará
240109,Yago Duarte,9599,2016-05-16,Psicologia,Ciências Humanas,2014-10-21,FRB - Faculdades Integradas Rio Branco
240110,Nathan Silva,9599,2017-12-27,Turismo,Ciências Sociais Aplicadas,2012-05-11,UERJ - Universidade do Estado do Rio de Janeiro
240111,Srta. Ana Vitória Monteiro,9599,2020-03-12,Museologia,Ciências Sociais Aplicadas,2016-11-29,UNIVERSO - Universidade Salgado de Oliveira
240112,Augusto Vieira,9599,2020-06-07,Bioquímica,Ciências Biológicas,2009-12-06,FACIC - Faculdade de Ciências Humanas de Curvelo
240113,Srta. Yasmin da Costa,9599,2023-02-20,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2022-11-17,UFSM - Universidade Federal de Santa Maria
240114,Bianca Duarte,9599,2023-08-28,Oceanografia,Ciências Exatas e da Terra,2021-02-10,FAG - Fundação Assis Gurgacz
240115,Heloísa Pinto,9600,2020-12-10,Sociologia,Ciências Humanas,2012-03-08,UBM - Centro Universitário de Barra Mansa
240116,Murilo Caldeira,9600,2023-05-28,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2018-02-15,FAMAZ - Faculdade Metropolitana da Amazônia
240117,Sra. Luna Caldeira,9600,2019-07-16,Bioquímica,Ciências Biológicas,2017-01-21,UNA - Centro Universitário UNA
240118,Lara Souza,9600,2017-12-22,Psicologia,Ciências Humanas,2017-12-19,UFVJM - Universidade Federal dos Vales do Jequitinhonha e Mucuri
240119,Dra. Isadora da Luz,9600,2016-08-15,Engenharia Química,Engenharias,2014-11-23,ESMAC - Escola Superior Madre Celeste
240120,Bruno Silva,9600,2022-12-15,Ciência e Tecnologia de Alimentos,Ciências Agrárias,2011-12-23,UNIFAP - Universidade Federal do Amapá
240121,Breno Peixoto,9600,2019-01-15,Planejamento Urbano e Regional,Ciências Sociais Aplicadas,2014-09-07,UNIFAP - Universidade Federal do Amapá
240122,Luiz Miguel Mendes,9600,2019-08-23,Parasitologia,Ciências Biológicas,2017-06-09,UNIFAMETRO - Centro Universitário Fametro
240123,Mariane Cavalcanti,9600,2022-03-11,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2011-05-07,Colégio Pedro II - Colégio Pedro II
240124,Cauê Moreira,9600,2020-04-05,Engenharia Aeroespacial,Engenharias,2012-10-17,IFMT - Instituto Federal do Mato Grosso
240125,Theo Pires,9600,2015-08-09,Biofísica,Ciências Biológicas,2010-07-06,UNIFIEO - Centro Universitário FIEO
240126,Sarah Ramos,9600,2017-08-13,Ciência Política,Ciências Humanas,2016-11-05,ITE - Centro Universitário de Bauru
240127,Sabrina Pinto,9600,2018-03-11,Ecologia,Ciências Biológicas,2012-04-29,FAC FUNAM - Faculdade de Tecnologia Alto e Médio São Francisco
240128,Lívia Teixeira,9600,2015-09-22,Artes,"Lingüística, Letras e Artes",2012-04-28,USU - Universidade Santa Úrsula
240129,Henrique Fogaça,9600,2023-07-19,Engenharia Química,Engenharias,2013-04-24,FACIC - Faculdade de Ciências Humanas de Curvelo
240130,Vicente Araújo,9600,2017-04-23,Química,Ciências Exatas e da Terra,2015-11-17,UnDF - Universidade do Distrito Federal Jorge Amaury
240131,Maria Almeida,9600,2018-02-05,Artes,"Lingüística, Letras e Artes",2016-09-07,PUC-Campinas - Pontifícia Universidade Católica de Campinas
240132,Vitor Almeida,9600,2017-08-07,Nutrição,Ciências da Saúde,2011-02-17,IFTO - Instituto Federal do Tocantins
240133,Helena da Cruz,9600,2017-04-25,Ciência da Computação,Ciências Exatas e da Terra,2012-03-12,UNIAVAN - Centro Universitário Avantis
240134,Vitor Hugo da Mota,9600,2015-12-14,Física,Ciências Exatas e da Terra,2011-05-12,FACITEC - Faculdade de Ciências Sociais e Tecnológicas
240135,Ana Laura Moreira,9600,2024-02-02,Química,Ciências Exatas e da Terra,2023-03-06,UNITAU - Universidade de Taubaté
240136,Joana Mendes,9600,2018-09-15,Saúde Coletiva,Ciências da Saúde,2017-03-27,PUC-Campinas - Pontifícia Universidade Católica de Campinas
240137,Dr. Samuel Rezende,9600,2018-10-11,Demografia,Ciências Sociais Aplicadas,2010-08-28,UNIRITTER - Centro Universitário Ritter dos Reis
240138,Yago Silveira,9600,2017-07-11,Geografia,Ciências Humanas,2016-07-22,UNIPAC - Universidade Presidente Antônio Carlos
240139,Ana Silva,9600,2018-03-26,História,Ciências Humanas,2012-01-29,UNAMA - Universidade da Amazônia
240140,Diogo Martins,9600,2020-12-27,Geografia,Ciências Humanas,2012-04-01,UAM - Universidade Anhembi Morumbi
240141,João Felipe Cunha,9600,2023-12-21,Microbiologia,Ciências Biológicas,2009-10-08,IFSul - Instituto Federal Sul-rio-grandense
240142,João da Luz,9600,2023-12-06,Antropologia,Ciências Humanas,2020-01-30,SENAC - Faculdade Senac - Distrito Federal
240143,Sabrina Lopes,9600,2017-03-03,Saúde Coletiva,Ciências da Saúde,2015-03-17,UNIVATES - Universidade do Vale do Taquari
